id,name,slug,status,exempt,types,jurisdiction,address,location,email,other_emails,phone,fax,website,twitter,twitter_handles,parent,appeal_agency,can_email_appeals,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate
8934,"Department of Public Health, Department of Correction",department-of-public-health-department-of-correction,rejected,False,[],1,,,,,,,,,,,,False,,,,,/agency/massachusetts-1/department-of-public-health-department-of-correction-8934/,0,0,0
8847,Massachusetts Department of Corrections (Central Office),massachusetts-department-corrections-central-office,approved,False,[],1,"Department of Correction
50 Maple St # 3
Milford, MA 01757",,kate.silvia@massmail.state.ma.us,,508-422-3300,,,,,,,False,,,,,/agency/massachusetts-1/massachusetts-department-corrections-central-office-8847/,14,0.0,25.0
411,"Massachusetts Commission on Lesbian, Gay, Bisexual, Transgender, Queer and Questioning (LGBTQ) Youth (Commission)",commission-on-gay-lesbian-bisexual-transgender-youth,approved,False,[],1,"Massachusetts Commission on GLBT Youth
Administrative Office c/o MA DPH 
250 Washington Street 3rd floor
Boston, MA 02108","{u'type': u'Point', u'coordinates': [-71.1495395916817, 42.3477922844275]}",landen.motyka@state.ma.us,,617-624-5495,,http://www.mass.gov/cgly/,,,,,False,http://www.mass.gov/cgly/contacts.htm,,,,/agency/massachusetts-1/commission-on-gay-lesbian-bisexual-transgender-youth-411/,8,0.0,25.0
3216,"Secretary of the Commonwealth of Massachusetts, Public Records Division",public-records-division-of-the-secretary-of-the-commonwealth-of-massachusetts,approved,False,[],1,"Shawn A. Williams, Esq.
Director, Public Records Division
Supervisor of Records
Office of the Secretary of the Commonwealth of Massachusetts
One Ashburton Place Room 1719
Boston MA 02108",,pre@sec.state.ma.us,,617-727-2832,617-727-5914,,,,,,False,http://www.sec.state.ma.us/arc/arcrmu/rmuidx.htm,,,,/agency/massachusetts-1/public-records-division-of-the-secretary-of-the-commonwealth-of-massachusetts-3216/,68,6.666666666666667,43.333333333333336
2520,Alcoholic Beverage Control Commission,alcoholic-beverage-control-commission,approved,False,[],1,"Alcoholic Beverage Control Commission
239 Causeway Street
Boston, MA 02114","{u'type': u'Point', u'coordinates': [-71.0594960588235, 42.3662667647059]}",phathaway@tre.state.ma.us,,617-727-3040,617-727-1510,,,,,,False,http://www.mass.gov/abcc/recordrequest.htm,,,,/agency/massachusetts-1/alcoholic-beverage-control-commission-2520/,19,40.0,20.0
8542,"Massachusetts Commission on Lesbian, Gay, Bisexual, Transgender, Queer and Questioning (LGBTQ) Youth (Commission)",massachusetts-commission-on-lesbian-gay-bisexual-transgender-queer-and-questioning-lgbtq-youth-commission,rejected,False,[],1,,,,,,,,,,,,False,http://www.mass.gov/cgly/,,,,/agency/massachusetts-1/massachusetts-commission-on-lesbian-gay-bisexual-transgender-queer-and-questioning-lgbtq-youth-commission-8542/,0,0,0
8058,secretary of state,secretary-of-state,rejected,False,[],1,,,,,,,,,,,,False,,,,,/agency/massachusetts-1/secretary-of-state-8058/,0,0,0
8036,University of Massachusetts - Boston,university-of-massachusetts-boston,rejected,False,[],1,,,,,,,,,,,,False,,,,,/agency/massachusetts-1/university-of-massachusetts-boston-8036/,0,0,0
2579,Northwestern District Attorney's Office,northwestern-district-attorneys-office,approved,False,[u'District Attorney'],1,"Northwestern District Attorney's Office, HAMPSHIRE COUNTY OFFICE
One Gleason Plaza
Northampton, MA 01060",,cynthia.von.flatern@state.ma.us,,(413) 586-9225,(413) 584-3635,,,,,,False,http://www.northwesternda.org/contact-us,,,,/agency/massachusetts-1/northwestern-district-attorneys-office-2579/,13,0.0,70.0
5451,Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner,massachusetts-executive-office-public-safety-and-security-office-chief-medical-examiner,approved,False,[u'Agriculture'],1,"Office of the Chief Medical Examiner
720 Albany Street
Boston, MA 02118","{u'type': u'Point', u'coordinates': [-71.0729198979592, 42.3338108979592]}",,,(617) 267-6767,(617) 266-6763,http://www.mass.gov/eopss/agencies/ocme/,,,,,False,,,,,/agency/massachusetts-1/massachusetts-executive-office-public-safety-and-security-office-chief-medical-examiner-5451/,51,0.0,0.0
7687,Massachusetts Educational Financing Authority,massachusetts-educational-financing-authority,approved,False,[],1,"160 Federal Street, 4th Floor
Boston, MA 02110",,info@mefa.org,,800-449-6332,,,,,,,False,http://www.mefa.org/,,,,/agency/massachusetts-1/massachusetts-educational-financing-authority-7687/,10,0.0,100.0
7658,Board of Registration in Medicine,board-of-registration-in-medicine,approved,False,[],1,"Gerard Dolan, Primary RAO
Assistant General Counsel
 200 Harvard Mill Square, Suite 330
 Wakefield, MA 01880",,BORIM.RAO@state.ma.us,,781-876-8268,,,,,,,False,http://www.mass.gov/eohhs/public-records/med/board-of-registration-in-medicine-public-records-request.html,,,,/agency/massachusetts-1/board-of-registration-in-medicine-7658/,0,0.0,0.0
274,Massachusetts State Police,massachusetts-state-police,approved,False,[u'Police'],1,"470 Worcester Road
Framingham, MA 01702","{u'type': u'Point', u'coordinates': [-71.4155057692308, 42.2977067692308]}",msp.legal.section@state.ma.us,,(508) 820-2300,508-820-2182,,,,,330,False,http://www.mass.gov/eopss/contact-us.html#a16,,,,/agency/massachusetts-1/massachusetts-state-police-274/,103,14.285714285714285,27.32919254658385
7577,Department of Higher Education,department-of-higher-education,approved,False,[],1,"Massachusetts Department of Higher Education
One Ashburton Place, Room 1401
Boston, MA 02108",,DHE.RAO@state.ma.us,,617-994-6950,,,,,,,False,http://www.mass.edu/about/publicrecords.asp,,,,/agency/massachusetts-1/department-of-higher-education-7577/,7,0.0,25.0
508,Attorney General's Office,attorney-generals-office,approved,False,[u'Attorney General'],1,"Office of the Attorney General
One Ashburton Place
Boston, MA 02108 -1518",,AGORecordsAccessQfficer@state.ma.us,,(617) 727-2200,,,,,,,False,,,,,/agency/massachusetts-1/attorney-generals-office-508/,35,10.16949152542373,30.508474576271187
3059,Salem State University,salem-state-university,approved,False,[u'College or University'],1,352 Lafayette St Salem MA 01970,,publicrecords@salemstate.edu,,978-542-7500,978-542-7525,,,,,,False,http://www.salemstate.edu/,,,,/agency/massachusetts-1/salem-state-university-3059/,145,0.0,66.66666666666666
2560,Berkshire Regional Transit Authority,berkshire-regional-transit-authority,approved,False,[u'Transportation'],1,"Berkshire Regional Transit Authority
1 Columbus Ave.
Suite 201
Pittsfield, MA 01201",,sarah.vallieres@berkshirerta.com,,(413) 499-2782,,http://berkshirerta.com/contact.php,,,,,False,http://www.berkshirerta.com/,,,,/agency/massachusetts-1/berkshire-regional-transit-authority-2560/,9,0.0,50.0
4046,Department of Conservation and Recreation,department-conservation-and-recreation,approved,False,[],1,"Office of General Counsel
Department of Conservation and Recreation
ATTN: Alice Bilbo-Miles
251 Causeway Street
Boston, Massachusetts 02114","{u'type': u'Point', u'coordinates': [-71.0591548948075, 42.3664552286345]}",mass.parks@state.ma.us,,617-626-1250,617-626-1351,http://www.mass.gov/eea/agencies/dcr/,,,,,False,,,,,/agency/massachusetts-1/department-conservation-and-recreation-4046/,36,0.0,25.0
3946,Commission on Judicial Conduct,commission-judicial-conduct,approved,False,[u'Court'],1,"Supervisor of Records
Commission on Judicial Conduct
11 Beacon Street 
Suite 525 
Boston, MA 02108-3006","{u'type': u'Point', u'coordinates': [-71.0696875, 42.356239]}",,,617-725-8050,617-248-9938,http://www.mass.gov/cjc/,,,,,False,,,,Not sure if the mailing address will work as far as getting the request to the right person.,/agency/massachusetts-1/commission-judicial-conduct-3946/,5,0.0,0.0
2477,Boston Pre-Release Center (Massachusetts Corrections),boston-pre-release-center-massachusetts-corrections,approved,False,[u'Corrections'],1,"430 Canterbury St.
Roslindale, MA 02131","{u'type': u'Point', u'coordinates': [-71.1114989, 42.283222]}",,,617-822-5000,,http://www.mass.gov/eopss/agencies/doc/public-records-requests.html,,,,,False,http://www.mass.gov/eopss/law-enforce-and-cj/prisons/doc-facilities/boston-pre-release-center.html,,,Use this form: http://www.mass.gov/eopss/agencies/doc/public-records-requests.html,/agency/massachusetts-1/boston-pre-release-center-massachusetts-corrections-2477/,0,0.0,0.0
195,Massachusetts Emergency Management Agency,massachusetts-emergency-management-agency,approved,False,[],1,"400 Worcester Road
Framingham, MA 01702 -5399","{u'type': u'Point', u'coordinates': [-71.4119103226851, 42.2978979194303]}",CDA.RAO@MassMail.State.MA.US,,508-820-2000,15088202030,,,,,,False,http://www.mass.gov/?pageID=eopsagencylanding&L=3&L0=Home&L1=Public+Safety+Agencies&L2=Massachusetts+Emergency+Management+Agency&sid=Eeops,,,,/agency/massachusetts-1/massachusetts-emergency-management-agency-195/,0,0.0,0.0
7234,"Massachusetts Department of Agricultural Resources, Division of Animal Health",massachusetts-department-of-agricultural-resources,approved,False,[],1,,,Michael.Cahill@state.ma.us,,,,,,,,,False,,,,,/agency/massachusetts-1/massachusetts-department-of-agricultural-resources-7234/,0,100.0,0.0
7233,Massachusetts State Gaming Commission,massachusetts-state-gaming-commission,approved,False,[],1,"Massachusetts Gaming Commission
101 Federal Street, 12th Floor
Boston, MA 02110
Attn: Public Records Office",,mgcpublicrecords@state.ma.us,,617-979-8400,617-725-0258,,,,,,False,http://massgaming.com/,,,,/agency/massachusetts-1/massachusetts-state-gaming-commission-7233/,7,0.0,0.0
7228,Department of Developmental Services,department-developmental-services,approved,False,[],1,"Department of Developmental Services
500 Harrison Avenue
Boston, MA 02118",,DDS.Info@state.ma.us,,(617) 727-5608,(617) 624-7577,,,,,,False,,,,,/agency/massachusetts-1/department-developmental-services-7228/,55,0.0,50.0
452,Commonwealth Fusion Center,commonwealth-fusion-center,approved,False,[],1,"Jason R. Stelmat, Privacy Officer
Commonwealth Fusion Center
124 Acton Street, Maynard MA 01754
","{u'type': u'Point', u'coordinates': [-71.4562901042507, 42.44276725]}",jason.stelmat@state.ma.us,fusion@pol.state.ma.us,978-451-3752,978-451-3707,,,,,,False,http://www.mass.gov/eopss/home-sec-emerg-resp/fusion-center/fusion-center-overview.html,,,,/agency/massachusetts-1/commonwealth-fusion-center-452/,54,17.857142857142858,14.285714285714285
3146,Secretary of the Commonwealth of Massachusetts,secretary-of-the-commonwealth-of-massachusetts,approved,False,[],1,"Secretary of the Commonwealth of Massachusetts
State House Room 337
Boston MA 02133","{u'type': u'Point', u'coordinates': [-71.0595677, 42.3604823]}",pre@sec.state.ma.us,patricia.rastellini@state.ma.us,617-727-9180,617-742-4722,,,,,,False,http://mass.gov/sec,,,,/agency/massachusetts-1/secretary-of-the-commonwealth-of-massachusetts-3146/,92,28.57142857142857,38.095238095238095
7114,Berkshire Community College,berkshire-community-college,approved,False,[],1,"BERKSHIRE COMMUNITY COLLEGE 
1350 WEST ST
PITTSFIELD, MA 01201",,dcote@berkshirecc.edu,,4132361022,,,,,,,False,https://www.berkshirecc.edu/,,,,/agency/massachusetts-1/berkshire-community-college-7114/,0,0.0,0.0
7113,Greenfield Community College,greenfield-community-college,approved,False,[],1,"Greenfield Community College
One College Drive
Greenfield, MA 01301-9739",,carroll@gcc.mass.edu,,413-775-1420,,,,,,,False,http://www.gcc.mass.edu/,,,,/agency/massachusetts-1/greenfield-community-college-7113/,21,0.0,100.0
7112,Holyoke Community College,holyoke-community-college,approved,False,[],1,"Holyoke Community College
303 Homestead Ave. Holyoke, MA 01040",,jrome@hcc.edu,,413-552-2183,,,,,,,False,http://www.hcc.edu/,,,,/agency/massachusetts-1/holyoke-community-college-7112/,5,0.0,100.0
7111,Springfield Technical Community College,springfield-technical-community-college,approved,False,[],1,"1 Armory St, Springfield, MA 01105",,jdanko@stcc.edu,,413-755-4812,,,,,,,False,http://www.stcc.edu/,,,,/agency/massachusetts-1/springfield-technical-community-college-7111/,26,0.0,100.0
7110,Mount Wachusett Community College,mount-wachusett-community-college,approved,False,[],1,"444 Green St, Gardner, MA 01440",,marketing@mwcc.mass.edu,,978-630-9122,,,,,,,False,http://mwcc.edu/,,,,/agency/massachusetts-1/mount-wachusett-community-college-7110/,6,0.0,100.0
7109,Quinsigamond Community College,quinsigamond-community-college,approved,False,[],1,"670 West Boylston St.
Worcester, MA 01606",,jmartin@qcc.mass.edu,,508-854-7513,,,,,,,False,http://www.qcc.edu/,,,,/agency/massachusetts-1/quinsigamond-community-college-7109/,13,0.0,100.0
7108,Mass Bay Community College,mass-bay-community-college,approved,False,[],1,"50 Oakland St, Wellesley, MA 02481",,ekoh@massbay.edu,,781-239-3000,,,,,,,False,http://www.massbay.edu/,,,,/agency/massachusetts-1/mass-bay-community-college-7108/,1,0.0,100.0
7107,Middlesex Community College,middlesex-community-college,approved,False,[],1,"591 Springs Rd, Bedford, MA 01730",,marketing@middlesex.mass.edu,,781-280-3513,781-275-0741,,,,,,False,https://www.middlesex.mass.edu/,,,,/agency/massachusetts-1/middlesex-community-college-7107/,14,0.0,100.0
7106,Northern Essex Community College,northern-essex-community-college,approved,False,[],1,"100 Elliott St, Haverhill, MA 01830",,egreenslade@necc.mass.edu,,978-556-3862,978-556-3182,,,,,,False,http://www.necc.mass.edu/,,,,/agency/massachusetts-1/northern-essex-community-college-7106/,20,0.0,100.0
7105,North Shore Community College,north-shore-community-college,approved,False,[],1,"1 Ferncroft Rd, Danvers, MA 01923",,lbrantle@northshore.edu,,978-739-5506,,,,,,,False,http://news.northshore.edu/,,,,/agency/massachusetts-1/north-shore-community-college-7105/,1,0.0,100.0
7104,Bunker Hill Community College,bunker-hill-community-college,approved,False,[],1,"Bunker Hill Community College
250 New Rutherford Avenue
Boston, MA 02129-2925",,kmnorton@bhcc.mass.edu,,617-228-2000,,,,,,,False,http://www.bhcc.edu/index.php,,,,/agency/massachusetts-1/bunker-hill-community-college-7104/,11,0.0,100.0
7103,Roxbury Community College,roxbury-community-college,approved,False,[],1,,,pantonellis@rcc.mass.edu,,617-541-5303,,,,,,,False,http://www.rcc.mass.edu/directory,,,,/agency/massachusetts-1/roxbury-community-college-7103/,27,0.0,100.0
7102,Massasoit Community College,massasoit-community-college,approved,False,[],1,"One Massasoit Blvd.
Brockton, MA 02302",,,,508-588-9100,,,,,,,False,http://www.massasoit.edu/,,,,/agency/massachusetts-1/massasoit-community-college-7102/,21,0.0,100.0
7101,Bristol Community College,bristol-community-college,approved,False,[],1,"777 Elsbree Street
Fall River, MA 02720
508.678.2811",,Tafa.Awolaju@bristolcc.edu,,508-678-2811,,,,,,,False,http://www.bristolcc.edu/,,,,/agency/massachusetts-1/bristol-community-college-7101/,0,100.0,0.0
7100,Cape Cod Community College,cape-cod-community-college,approved,False,[],1,"Cape Cod Community College
2240 Iyannough Road
West Barnstable, MA 02668-1599",,admiss@capecod.edu,,508-362-2131,,,,,,,False,http://www.capecod.edu/,,,,/agency/massachusetts-1/cape-cod-community-college-7100/,23,0.0,100.0
138,Executive Office of Health and Human Services,executive-office-of-health-and-human-services,approved,False,[u'Health'],1,"One Ashburton Place
11th Floor
Boston, MA  02108",,Sharon.Torgerson@State.MA.US,,617-573-1834,16175731893,,,,,,False,,,,,/agency/massachusetts-1/executive-office-of-health-and-human-services-138/,69,6.25,25.0
5417,Northeastern Massachusetts Law Enforcement Council,northeastern-massachusetts-law-enforcement-council,approved,False,"[u'Law Enforcement Council', u'Police']",1,"Northeastern Massachusetts Law Enforcement Council
314 Main Street, Suite #205 
Wilmington MA, 01887

 
","{u'type': u'Point', u'coordinates': [-71.1759335881006, 42.5512909]}",lnichols@nemlec.org,jfisher@carlislepolice.com,978.694.0911,978.658.7911,,,,,,False,http://www.nemlec.com/contact.html,,,,/agency/massachusetts-1/northeastern-massachusetts-law-enforcement-council-5417/,9,0.0,66.66666666666666
310,Department of Correction,department-of-correction,approved,False,[u'Corrections'],1,"Central Records Unit
MCI-Concord-B Building
P.O. Box 9106
Concord, MA 01742","{u'type': u'Point', u'coordinates': [-71.3488962, 42.4605189]}",christopher.fallon@massmail.state.ma.us,,5084223355,,,,,,,False,http://www.mass.gov/eopss/contact-us.html#a4,,,,/agency/massachusetts-1/department-of-correction-310/,114,0.0,25.0
3230,MBTA Transit Police,mbta-transit-police,approved,False,[u'Police'],1,"MBTA Transit Police Department 
240 Southampton Street 
Boston, MA 02118","{u'type': u'Point', u'coordinates': [-71.0646669, 42.331047]}",chiefofpolice@mbta.com,MBTA.RAO@mbta.com,617-222-1100,,http://www.mbta.com/transitpolice/,,,,,False,http://www.mbta.com/transitpolice/contact_us/,,,,/agency/massachusetts-1/mbta-transit-police-3230/,62,25.0,25.0
453,Executive Office of Public Safety and Security,executive-office-public-safety-and-security,approved,False,[],1,"One Ashburton Place,
Suite 2133
Boston, MA 02108",,eopsinfo@state.ma.us,,(617) 727-7775,(617) 727-4764,,,,,,False,http://www.mass.gov/eopss/contact-us.html#a7,,,,/agency/massachusetts-1/executive-office-public-safety-and-security-453/,169,9.090909090909092,63.63636363636363
192,University of Massachusetts,university-of-massachusetts,approved,False,[],1,,,rconnolly@umassp.edu,,617.287.7073,,,,,,,False,http://www.massachusetts.edu/index.html,,,,/agency/massachusetts-1/university-of-massachusetts-192/,14,13.636363636363635,9.090909090909092
